identificador,idioma,texto
TXT00142,it,PRENOTARE.
TXT00220,fr,Je vais conduire demain.
TXT00094,pt,Quero jogar agora.
TXT00071,pt,Esperar.
TXT00298,en,I don't want to write anymore!!
TXT00076,pt,Preciso caminhar hoje.
TXT00247,fr,Je veux lire maintenant.
TXT00666,es,¿Cómo estás hoy? Adiós.
TXT00367,pt,Bom dia.
TXT00074,pt,Quero escrever agora.
TXT00169,it,Vado a scrivere domani.
TXT00122,pt,Posso estudar aqui?
TXT00411,es,Adiós.
TXT00177,it,Non voglio parlare più.
TXT00145,it,Dove posso aspettare?
TXT00561,es,Mi hermana vive en el centro de la ciudad!!
TXT00537,pt,Não falo bem o idioma.
TXT00370,en,Good morning.
TXT00467,pt,Onde fica o banheiro?
TXT00471,es,Tengo mucha hambre.
TXT00375,en,GOOD MORNING.
TXT00182,it,Voglio pagare adesso.
TXT00081,pt,Jogar.
TXT00274,fr,Je veux acheter maintenant.
TXT00485,en,I AM VERY HUNGRY.
TXT00657,pt,Meu nome é Ana. Quanto custa isto?
TXT00602,pt,O restaurante da esquina é muito bom e barato.
TXT00722,pt,Quanto custa isto? Está muito frio hoje.
TXT00726,es,Tengo mucha hambre. El restaurante de la esquina es muy bueno y barato.
TXT00525,en,It is very cold today.
TXT00605,en,The restaurant on the corner is very good and cheap.
TXT00498,it,Quanto costa questo?!
TXT00418,it,Arrivederci.
TXT00652,pt,Não falo bem o idioma. Quanto custa isto?
TXT00203,it,Vado a parlare domani.
TXT00080,pt,Preciso estudar hoje.
TXT00481,es,Tengo mucha hambre.
TXT00325,en,I want to walk now.
TXT00487,pt,Quanto custa isto?
TXT00544,fr,Je ne parle pas bien la langue.
TXT00580,en,Yesterday I went to the market to buy fresh fruit.
TXT00702,pt,Quanto custa isto? Bom dia.
TXT00479,fr,J'ai très faim.
TXT00308,en,Where can I call?
TXT00132,pt,Vou cancelar amanhã.
TXT00425,en,Goodbye.
TXT00596,es,El restaurante de la esquina es muy bueno y barato.
TXT00448,it,Non capisco niente.
TXT00365,en,Hi.
TXT00517,pt,Está muito frio hoje.
TXT00542,pt,Não falo bem o idioma.
TXT00403,it,Mi dispiace.
TXT00280,fr,Puis-je travailler ici?
TXT00303,en,Can I study here?
TXT00113,pt,Vou escrever amanhã.
TXT00731,es,No sé si podré llegar antes de las diez de la noche. El tren llega a las ocho de la mañana.
TXT00136,pt,Preciso enviar hoje.
TXT00229,fr,Je ne veux plus réserver.
TXT00358,it,Ciao.
TXT00228,fr,Travailler.
TXT00704,fr,Combien ça coûte? Bonjour.
TXT00559,fr,Le train arrive à huit heures du matin.
TXT00685,en,Yesterday I went to the market to buy fresh fruit. Where is the bathroom?...
TXT00535,en,I don't speak the language well.
TXT00363,it,Ciao.
TXT00632,pt,Não sei se vou conseguir chegar antes das dez da noite.
TXT00332,en,I have to play this week.
TXT00435,en,How are you today?
TXT00173,it,Non voglio camminare più.
TXT00663,it,Non capisco niente. Fa molto freddo oggi.
TXT00336,en,Where can I eat?
TXT00285,en,I need to work today.
TXT00105,pt,Preciso esperar hoje.
TXT00270,fr,Puis-je envoyer ici?
TXT00324,en,I have to buy this week.
TXT00048,es,No quiero viajar más.
TXT00383,it,Grazie.
TXT00406,es,Lo siento.
TXT00130,pt,Comprar.
TXT00082,pt,Onde posso reservar?
TXT00318,en,I will sleep tomorrow.
TXT00342,en,I would like to sleep soon.
TXT00180,it,Dove posso giocare?
TXT00424,fr,Au revoir.
TXT00536,es,No hablo bien el idioma.
TXT00086,pt,Não quero caminhar mais.
TXT00329,en,I will pay tomorrow.
TXT00088,pt,Pagar.
TXT00539,fr,Je ne parle pas bien la langue.
TXT00550,en,The train arrives at eight in the morning.
TXT00178,it,Dove posso guidare?
TXT00630,en,I don't know if I can arrive before ten in the evening.
TXT00391,es,Gracias.
TXT00234,fr,Je dois annuler aujourd'hui.
TXT00238,fr,Je vais lire demain!!
TXT00577,pt,Ontem fui ao mercado para comprar fruta fresca.
TXT00243,fr,Je vais acheter demain.
TXT00035,es,Leer.
TXT00503,it,Mi chiamo Ana.
TXT00677,pt,Onde fica o banheiro? Minha irmã mora no centro da cidade.
TXT00070,es,Comer.
TXT00436,es,¿Cómo estás hoy?!
TXT00408,it,Mi dispiace.
TXT00457,pt,Onde fica o banheiro?
TXT00625,en,I don't know if I can arrive before ten in the evening.
TXT00058,es,Necesito hablar hoy.
TXT00444,fr,Je ne comprends rien.
TXT00311,en,I need to read today!!
